id;texto;sentimento
0;colocaram uma mula pra comandar o país;0
1;Esse cara e os dele são uns covardes. Não assumem nada, sempre mentindo e jogando a responsabilidade para os outros.;0
2;Na última vez que a mídia alarmou sobre a morte do indígena em Waiapi, Bolsonaro disse que seria verificado e foi comprovado pela perícia que não houve invasão. Como tem informações privilegiadas ele não afirmaria sem ter uma prévia das investigações... Todos perceberam isso...;1
3;ONGs tiveram repasse cancelado e aumento de focos na região de atuação das ONGs, isso chama-se inferência.;1
4;Não duvido que tenha sido isso mesmo.;1
5;Acusa!? Não senhores, diz o óbvio. As 'ONGs' querem o subsolo, não as árvores. É tão difícil de entender???;1
6;"Não duvide que possam estar convencendo os índios a fazerem isso. São inocentes úteis nas mãos de ""ongs"" sem escrúpulos que querem o dinheiro que foi cortado pela Noruega e Alemanha, de volta.";1
7;não sabia que ONGs eram compostas por fazendeiros. Interessante isso, seu imbecilóide @jairbolsonaro;0
8;Em março o Bozo cortou 50% do orçamento do Ibama pra construção do Prevfogo, um centro de prevenção a incêndios, e R$ 5,4 mi do ICMBio para fiscalização e combate a incêndios, mas sim, são as ONGs que tão tacando fogo pra aparecer.;0
9;Ñ é d duvidar. Esse pessoal são capazes d tudo p/desestabilizar o Governo q afronta os interesses escusos deles. - Estão preocupados c/o Nordeste? NÃO! - C/os favelados das periferias? NÃO! - Crianças pobres, pedintes dos faróis? NÃO! - Usuários d drogas da cracolândia? NÃO!;1
10;botaram uma criança mimada na presidência, em vez de assumir o erro, coloca a culpa nos outros.;0
11;Lembram das suásticas? das pichações e pessoas supostamente agredidas durante a campanha? Quem duvida do que a esquerda é capaz? A esquerda já deu ou não provas de que é totalmente falsa, imoral, mentirosa e fabricadora de 'fatos' e destruidora de reputações?;1
12;"A imprensa militante e mentirosa diz que o Presidente acusa, quando na verdade ele disse que ""pode estar por trás dos crimes"". Foi só a fonte de dinheiro público secar para os incêndios começarem.";1
13;1. Nomeia um criminoso ambiental condenado como Ministro do Meio Ambiente. 2. Desmonta IBAMA e impede de multar. 3. Culpa ONGs por destruição da Amazônia;0
14;Tirando Bolsonaro tudo se resolve. E só o povo nas ruas para isso.;0
15;Vindo da esquerda, que vitimiza terrorista que poderia atear fogo num ônibus com 31 pessoas... Não me surpreenderia...;1
16;Que cara lixo. Nem pra assumir as consequências de seus atos. COVARDE;0
17;O incêndio em Rondônia, começou na base do MST. Quem será que teria iniciado o incêndio? Sem falar, quem foi que disse que ia incendiar o Brasil mesmo, ou vcs esqueceram dessas palavras do lider deles?;1
18;Vcs criaram esse monstro, agora tem que frear isso gente!;0
19;O pior de tudo é que tem imbecil nos comentários apoiando kkkkkkk É como li essses dias, o Brasil está repleto de idiotas, bolsonaro é apenas um deles que chegou ao poder;0
20;O problema é que Bolsonaro ACUSA quem bem entende por qualquer mazela. Mas, NINGUÉM acusa Bolsonaro. Cadê aquele @MPF_PGR;0
21;E tem gente que acredita. A pós verdade é uma realidade há muito tempo, e com o Bolsonaro na presidência, ficou escancarado. O cara não tem nem vergonha mentir, e ficará protegido pelos minions dele, e o foro privilegiado. Sério, quem acredita nesse cara ainda? que reagia até a um espirro dos governantes petistas. Se acovardaram ou somente se corromperam?;0
22;Eu tenho certeza,a esquerda dos infernos não cansam,de tentar denegrir o Presidente.Simplesmente eles não aceitam a derrota nas urnas. #PTpartidodocrime;1
23;Pensei exatamente a mesma coisa. Da esquerda pode vir qualquer coisa! Eles nunca vão se conformar com a derrota. E a #GloboLixo também nunca vai se conformar até que vai acabar! #EsquerdaNuncaMais;1
24;Bolsonaro e Salles açulam os grileiros, depois põem a culpa nas ONGs. São o rei e o vice-rei do fake.;0
25;Que presidente mais banana. Se faz de vitima em tudo e nao age pra corrigir o problema.;0
26;Eu acredito no presidente.;1
27;não se pronunciou durante a queimada toda mas agr pra abrir a boca pra falar merda ele se pronuncia;0
28;A conhecida tática Maduro de criar inimigos para encobrir a própria incompetência. Então os avisos da transformação do Brasil em Venezuela eram mesmo reais.;0
29;Mas, isso é certeza!!! Coincidência né? Corta verbas e as queimadas aumentam em mais de 80%!!;1
30;Se houvesse jornalismo no Brasil ao inves de jornazismo vcs estariam apurando isso, mas vão deixar passar pq vai q vcs descobrem ne?;1
31;"E vc acha q isso é impossível? Eu tenho certeza q são capazes disso e até coisas piores, com a conivência e até cumplicidade de muitos ""ambientalistas""";1
