id;texto;sentimento
0;colocaram uma mula pra comandar o pais;0
1;Esse cara e os dele sao uns covardes. Nao assumem nada, sempre mentindo e jogando a responsabilidade para os outros.;0
2;Na ultima vez que a midia alarmou sobre a morte do indigena em Waiapi, Bolsonaro disse que seria verificado e foi comprovado pela pericia que nao houve invasao. Como tem informacoes privilegiadas ele nao afirmaria sem ter uma previa das investigacoes...Todos perceberam isso…;1
3;ONGs tiveram repasse cancelado e aumento de focos na regiao de atuacao das ONGs, isso chama-se inferencia.;1
4;Nao duvido que tenha sido isso mesmo.;1
5;Acusa!? Nao senhores, diz o obvio. As 'ONGs' querem o subsolo, nao as arvores. E  tao dificil de entender???;1
6;"Nao duvide que possam estar convencendo os indios a fazerem isso. Sao inocentes uteis nas maos de ""ongs"" sem escrupulos que querem o dinheiro que foi cortado pela Noruega e Alemanha, de volta.";1
7;nao sabia que ONGs eram compostas por fazendeiros. Interessante isso, seu imbeciloide @jairbolsonaro;0
8;Em marco o Bozo cortou 50% do orcamento do Ibama pra construcao do Prevfogo, um centro de prevencao a incendios, e R$ 5,4 mi do ICMBio para fiscalizacao e combate a incendios, mas sim, sao as ONGs que tao tacando fogo pra aparecer.;0
9;Nao e d duvidar. Esse pessoal sao capazes d tudo p/desestabilizar o Governo q afronta os interesses escusos deles. - Estao preocupados c/o Nordeste? NAO! - C/os favelados das periferias? NAO! - Criancas pobres, pedintes dos farois? NAO! - Usuarios d drogas da cracolandia? NAO!;1
10;botaram uma crianca mimada na presidencia, em vez de assumir o erro, coloca a culpa nos outros.;0
11;Lembram das suasticas? das pichacoes e pessoas supostamente agredidas durante a campanha? Quem duvida do que a esquerda e capaz? A esquerda ja deu ou nao provas de que e totalmente falsa, imoral, mentirosa e fabricadora de 'fatos' e destruidora de reputacoes?;1
12;"A imprensa militante e mentirosa diz que o Presidente acusa, quando na verdade ele disse que ""pode estar por tras dos crimes"". Foi so a fonte de dinheiro publico secar para os incendios comecarem.";1
13;1. Nomeia um criminoso ambiental condenado como Ministro do Meio Ambiente. 2. Desmonta IBAMA e impede de multar. 3. Culpa ONGs por destruicao da Amazonia;0
14;Tirando Bolsonaro tudo se resolve. E são povo nas ruas para isso.;0
15;Vindo da esquerda, que vitimiza terrorista que poderia atear fogo num onibus com 31 pessoas... Nao me surpreenderia...;1
16;Que cara lixo. Nem pra assumir as consequencias de seus atos. COVARDE;0
17;O incendio em Rondonia, comecou na base do MST. Quem sera que teria iniciado o incendio? Sem falar, quem foi que disse que ia incendiar o Brasil mesmo, ou vcs esqueceram dessas palavras do lider deles?;1
18;Vcs criaram esse monstro, agora tem que frear isso gente!;0
19;O pior de tudo e que tem imbecil nos comentarios apoiando kkkkkkk E como li essses dias, o Brasil estao repleto de idiotas, bolsonaro e apenas um deles que chegou ao poder;0
20;O problema e que Bolsonaro ACUSA quem bem entende por qualquer mazela. Mas, NINGUEM acusa Bolsonaro. Cade aquele @MPF_PGR;0
21;E tem gente que acredita. A pos verdade e uma realidade ha muito tempo, e com o Bolsonaro na presidencia, ficou escancarado. O cara nao tem nem vergonha mentir, e ficarem protegido pelos minions dele, e o foro privilegiado. Serio, quem acredita nesse cara ainda? que reagia ate a um espirro dos governantes petistas. Se acovardaram ou somente se corromperam?;0
22;Eu tenho certeza,a esquerda dos infernos nao cansam,de tentar denegrir o Presidente.Simplesmente eles não aceitam a derrota nas urnas. #PTpartidodocrime;1
23;Pensei exatamente a mesma coisa. Da esquerda pode vir qualquer coisa! Eles nunca vao se conformar com a derrota. E a #GloboLixo tambem nunca vai se conformar ate que vai acabar! #EsquerdaNuncaMais;1
24;Bolsonaro e Salles anulam os grileiros, depois poem a culpa nas ONGs. Sao o rei e o vice-rei do fake.;0
25;Que presidente mais banana. Se faz de vitima em tudo e nao age pra corrigir o problema.;0
26;Eu acredito no presidente.;1
27;não se pronunciou durante a queimada toda mas agr pra abrir a boca pra falar merda ele se pronuncia;0
28;A conhecida tatica Maduro de criar inimigos para encobrir a propria incompetencia. Entao os avisos da transformacao do Brasil em Venezuela eram mesmo reais.;0
29;Mas, isso e certeza!!! Coincidencia nao? Corta verbas e as queimadas aumentam em mais de 80%!!;1
30;Se houvesse jornalismo no Brasil ao inves de jornazismo vcs estariam apurando isso, mas vao deixar passar pq vai q vcs descobrem ne?;1
31;"E vc acha q isso o impossivel? Eu tenho certeza q sao capazes disso e ate coisas piores, com a conivencia e ate cumplicidade de muitos ""ambientalistas""";1
